"扁霖老ID","矫焙备内靛","矫焙备疙","醚积劝牢备荐","郴惫牢积劝牢备荐","厘扁眉幅寇惫牢牢备荐","窜扁眉幅寇惫牢牢备荐","老弥措牢备荐","老弥家牢备荐","林埃牢备荐(09~18)","具埃牢备荐(19~08)","老弥措捞悼牢备荐","辑匡寇蜡涝牢备荐","悼老磊摹备青沥悼埃捞悼牢备荐","磊摹备埃捞悼牢备荐"
"20210303","11290","己合备","445551.49650","424538.84600","14885.35650","6127.29410","473042.98650","411630.83350","419400.26860","464230.94500","191693.73790","27435.20320","89323.39350","74935.14120"
"20210302","11290","己合备","453822.94190","433147.35710","14912.25760","5763.32730","496840.97390","418124.67950","426561.47400","473295.41890","190063.32630","27032.68370","89577.54890","73453.09370"
"20210301","11290","己合备","457237.58320","437054.58490","14880.03310","5302.96520","472978.00850","441433.92620","447767.65200","464001.81980","153601.30160","21162.11260","82884.73480","49554.45420"
"20210228","11290","己合备","442971.47970","422739.72350","14471.94790","5759.80830","459962.79170","414023.57850","426412.87980","454799.05100","167445.86070","26776.54600","85071.87860","55597.43610"
"20210227","11290","己合备","440922.14330","421374.04090","14408.22560","5139.87680","462124.47630","409713.28610","421917.51950","454496.87460","176523.22570","27460.27360","85663.92070","63399.03140"
"20210226","11290","己合备","434850.80690","415801.14360","14160.60900","4889.05420","464979.65290","398688.46430","408138.06060","453931.34000","188986.63350","25614.68270","89535.12550","73836.82530"
"20210225","11290","己合备","437099.40360","418345.38330","14373.49430","4380.52600","464516.37370","403872.60290","411400.70010","455455.62040","192082.89770","26039.89670","90776.74000","75266.26100"
"20210224","11290","己合备","436355.20750","417773.49220","14420.49000","4161.22530","465147.68180","401661.80110","409208.27890","455745.87080","190921.17490","24838.02120","91291.91520","74791.23850"
"20210223","11290","己合备","436639.38980","418127.98900","14499.80990","4011.59090","463696.92460","402476.93570","410441.01260","455352.51640","190571.45360","24717.98600","91174.21520","74679.25240"
"20210222","11290","己合备","435928.14660","418069.29750","14204.34380","3654.50540","464169.07060","400334.57790","408856.46140","455265.06470","189434.25020","24033.54490","91551.50390","73849.20140"
"20210221","11290","己合备","447685.35420","430365.66280","14088.95370","3230.73770","463275.22650","423424.65220","434537.38110","457076.76350","168260.65380","22212.83510","89200.31360","56847.50510"
"20210220","11290","己合备","442739.30770","425409.78280","13921.70250","3407.82250","461154.05150","414506.58280","425647.14010","454947.99890","174243.75770","24225.68930","87291.03940","62727.02900"
"20210219","11290","己合备","435645.58830","418212.54060","13918.28050","3514.76720","463231.34470","400950.32130","410366.61640","453701.99680","187560.16700","23910.80670","89965.54930","73683.81100"
"20210218","11290","己合备","436996.87820","419647.35120","14049.74310","3299.78390","463800.61690","405069.50470","412084.42840","454791.48520","188041.40880","23444.04000","90843.93090","73753.43790"
"20210217","11290","己合备","437966.75390","419842.22760","14171.51770","3953.00870","463832.34340","406357.21330","412946.03630","455838.69510","186961.64240","22661.07820","91191.21370","73109.35050"
"20210216","11290","己合备","436873.93550","418580.00680","13964.13900","4329.78980","462489.10520","403686.56280","411614.67940","454916.26140","185264.08630","22268.86750","91345.74070","71649.47810"
"20210215","11290","己合备","435847.07320","418345.25820","14106.66610","3395.14890","461721.90830","402621.10720","410710.36620","453801.86390","184764.46230","21731.89420","92006.18800","71026.38010"
"20210214","11290","己合备","443993.07360","426576.94340","14070.77920","3345.35110","461852.55620","426529.78930","434235.17280","450963.00280","161219.90810","19395.92830","88606.53750","53217.44230"
"20210213","11290","己合备","426593.02170","409622.67900","13614.58130","3355.76140","446411.45850","400644.89010","411487.85860","437382.42390","160560.77960","24101.34520","83573.29100","52886.14340"
"20210212","11290","己合备","432305.90080","415731.10880","13578.40470","2996.38730","439470.53490","418521.21200","425784.78170","436963.84300","169910.32140","33042.71190","79421.58660","57446.02290"
"20210211","11290","己合备","435470.09720","418280.25800","13725.01620","3464.82300","448380.72490","417823.66760","425091.57510","442883.32730","162333.10210","27155.64010","80053.73640","55123.72560"
"20210210","11290","己合备","432440.24440","415434.95880","13846.60800","3158.67760","459816.27730","399610.27840","408528.23140","449520.25360","178706.22520","20664.17150","89350.36650","68691.68720"
"20210209","11290","己合备","433928.67870","416345.84900","13909.82550","3673.00420","462537.90800","397828.10400","406853.19120","453268.31260","186365.16580","21786.68490","91856.47370","72722.00720"
"20210208","11290","己合备","436984.50310","419385.06980","14009.15090","3590.28240","465100.70700","401796.92950","410004.63210","456255.83950","187549.39230","22100.43670","92527.26880","72921.68680"
